text,category
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver dekat Monas, pelakunya kabur.",Kriminal
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal kawasan SCBD.",Medis
"Tolong, ada asap tebal di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
Waspada! Terjadi perampokan toko di Mall Grand Indonesia.,Kriminal
"Saya baru saja melihat penjambretan di mobil sedan silver di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Saya baru saja melihat pencurian dengan kekerasan di gedung perkantoran kawasan SCBD, pelakunya kabur.",Kriminal
"Saya baru saja melihat pencurian dengan kekerasan di mobil sedan silver di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Saya baru saja melihat tawuran warga di mobil sedan silver kawasan SCBD, pelakunya kabur.",Kriminal
Darurat! Api melalap rumah tinggal di Stasiun Manggarai.,Kebakaran
"Tolong, ada asap tebal di di Jalan Sudirman, korbannya di dalam warung kelontong.",Kebakaran
Lapor! Terjadi korsleting listrik di Mall Grand Indonesia.,Kebakaran
Darurat! Api melalap rumah tinggal dekat Monas.,Kebakaran
"Tolong, ada yang kecelakaan motor di rumah tinggal di Jalan Sudirman.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Stasiun Manggarai.",Medis
"Lapor, ada insiden pencurian dengan kekerasan kawasan SCBD.",Kriminal
Darurat! Api melalap rumah tinggal di Stasiun Manggarai.,Kebakaran
"Tolong, ada yang pingsan tidak sadarkan diri di rumah tinggal di Mall Grand Indonesia.",Medis
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
Seseorang butuh pertolongan medis karena kecelakaan motor di Apartemen Green Pramuka.,Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri dekat Monas.,Medis
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Stasiun Manggarai.",Medis
"Saya baru saja melihat tawuran warga di mobil sedan silver dekat Monas, pelakunya kabur.",Kriminal
"Tolong, ada asap tebal di di Jalan Sudirman, korbannya di dalam warung kelontong.",Kebakaran
Seseorang butuh pertolongan medis karena kesulitan bernapas kawasan SCBD.,Medis
Seseorang butuh pertolongan medis karena kecelakaan motor di Jalan Sudirman.,Medis
"Saya baru saja melihat perampokan toko di gedung perkantoran kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada asap tebal di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
Darurat! Api melalap mobil sedan silver di Stasiun Manggarai.,Kebakaran
"Lapor, ada insiden penjambretan kawasan SCBD.",Kriminal
"Tolong, ada yang serangan jantung di rumah tinggal di Jalan Sudirman.",Medis
Lapor! Terjadi asap tebal di Stasiun Manggarai.,Kebakaran
Lapor! Terjadi ledakan tabung gas kawasan SCBD.,Kebakaran
Waspada! Terjadi tawuran warga di Apartemen Green Pramuka.,Kriminal
"Tolong, ada yang kesulitan bernapas di mobil sedan silver dekat Monas.",Medis
Seseorang butuh pertolongan medis karena kecelakaan motor kawasan SCBD.,Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Apartemen Green Pramuka.,Medis
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Tolong, ada yang serangan jantung di gedung perkantoran di Mall Grand Indonesia.",Medis
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
"Saya baru saja melihat perampokan toko di warung kelontong di Mall Grand Indonesia, pelakunya kabur.",Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal di Stasiun Manggarai.",Medis
Lapor! Terjadi korsleting listrik di Apartemen Green Pramuka.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
Waspada! Terjadi perampokan toko dekat Monas.,Kriminal
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Jalan Sudirman.",Medis
Lapor! Terjadi ledakan tabung gas di Jalan Sudirman.,Kebakaran
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Tolong, ada asap tebal di di Stasiun Manggarai, korbannya di dalam warung kelontong.",Kebakaran
"Tolong, ada yang pendarahan hebat di rumah tinggal kawasan SCBD.",Medis
Lapor! Terjadi korsleting listrik dekat Monas.,Kebakaran
Lapor! Terjadi asap tebal di Jalan Sudirman.,Kebakaran
"Lapor, ada insiden pencurian dengan kekerasan kawasan SCBD.",Kriminal
"Tolong, ada asap tebal di dekat Monas, korbannya di dalam mobil sedan silver.",Kebakaran
Waspada! Terjadi penjambretan di Stasiun Manggarai.,Kriminal
"Saya baru saja melihat perampokan toko di mobil sedan silver kawasan SCBD, pelakunya kabur.",Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal kawasan SCBD.",Medis
Waspada! Terjadi pencurian dengan kekerasan di Mall Grand Indonesia.,Kriminal
Darurat! Api melalap warung kelontong di Stasiun Manggarai.,Kebakaran
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Stasiun Manggarai.",Medis
Waspada! Terjadi pencurian dengan kekerasan di Jalan Sudirman.,Kriminal
"Tolong, ada yang serangan jantung di mobil sedan silver di Stasiun Manggarai.",Medis
"Lapor, ada insiden penjambretan di Jalan Sudirman.",Kriminal
Seseorang butuh pertolongan medis karena serangan jantung dekat Monas.,Medis
Waspada! Terjadi perampokan toko di Stasiun Manggarai.,Kriminal
"Lapor, ada insiden penjambretan di Apartemen Green Pramuka.",Kriminal
"Tolong, ada yang kesulitan bernapas di gedung perkantoran kawasan SCBD.",Medis
Waspada! Terjadi perampokan toko dekat Monas.,Kriminal
"Tolong, ada asap tebal di dekat Monas, korbannya di dalam warung kelontong.",Kebakaran
Darurat! Api melalap warung kelontong di Stasiun Manggarai.,Kebakaran
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Stasiun Manggarai.",Medis
"Tolong, ada yang pingsan tidak sadarkan diri di gedung perkantoran di Stasiun Manggarai.",Medis
"Tolong, ada asap tebal di di Apartemen Green Pramuka, korbannya di dalam mobil sedan silver.",Kebakaran
"Lapor, ada insiden penjambretan di Apartemen Green Pramuka.",Kriminal
"Saya baru saja melihat penjambretan di mobil sedan silver di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Tolong, ada yang serangan jantung di mobil sedan silver di Apartemen Green Pramuka.",Medis
"Tolong, ada asap tebal di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Stasiun Manggarai.",Medis
"Tolong, ada korsleting listrik di di Stasiun Manggarai, korbannya di dalam mobil sedan silver.",Kebakaran
Waspada! Terjadi pencurian dengan kekerasan di Apartemen Green Pramuka.,Kriminal
"Lapor, ada insiden penjambretan di Stasiun Manggarai.",Kriminal
"Tolong, ada ledakan tabung gas di di Stasiun Manggarai, korbannya di dalam rumah tinggal.",Kebakaran
"Lapor, ada insiden tawuran warga di Jalan Sudirman.",Kriminal
"Tolong, ada yang pendarahan hebat di rumah tinggal di Stasiun Manggarai.",Medis
Lapor! Terjadi asap tebal di Mall Grand Indonesia.,Kebakaran
"Lapor, ada insiden pencurian dengan kekerasan di Stasiun Manggarai.",Kriminal
"Tolong, ada yang kesulitan bernapas di warung kelontong kawasan SCBD.",Medis
"Saya baru saja melihat pencurian dengan kekerasan di rumah tinggal di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
Lapor! Terjadi asap tebal dekat Monas.,Kebakaran
"Tolong, ada yang serangan jantung di rumah tinggal di Apartemen Green Pramuka.",Medis
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Stasiun Manggarai.",Medis
"Lapor, ada insiden penjambretan di Jalan Sudirman.",Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
"Tolong, ada yang pingsan tidak sadarkan diri di mobil sedan silver di Apartemen Green Pramuka.",Medis
"Tolong, ada yang pingsan tidak sadarkan diri di gedung perkantoran dekat Monas.",Medis
Seseorang butuh pertolongan medis karena pendarahan hebat dekat Monas.,Medis
Waspada! Terjadi tawuran warga di Mall Grand Indonesia.,Kriminal
"Saya baru saja melihat tawuran warga di warung kelontong di Jalan Sudirman, pelakunya kabur.",Kriminal
Darurat! Api melalap warung kelontong kawasan SCBD.,Kebakaran
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Tolong, ada yang serangan jantung di gedung perkantoran di Apartemen Green Pramuka.",Medis
Lapor! Terjadi asap tebal di Stasiun Manggarai.,Kebakaran
Waspada! Terjadi penjambretan di Apartemen Green Pramuka.,Kriminal
"Tolong, ada asap tebal di di Mall Grand Indonesia, korbannya di dalam rumah tinggal.",Kebakaran
Waspada! Terjadi perampokan toko di Apartemen Green Pramuka.,Kriminal
"Lapor, ada insiden perampokan toko kawasan SCBD.",Kriminal
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Stasiun Manggarai.",Medis
Lapor! Terjadi korsleting listrik di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung di Stasiun Manggarai.",Medis
Darurat! Api melalap gedung perkantoran kawasan SCBD.,Kebakaran
"Tolong, ada korsleting listrik di di Apartemen Green Pramuka, korbannya di dalam gedung perkantoran.",Kebakaran
Lapor! Terjadi asap tebal kawasan SCBD.,Kebakaran
Darurat! Api melalap mobil sedan silver di Mall Grand Indonesia.,Kebakaran
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Stasiun Manggarai.,Medis
"Tolong, ada yang kesulitan bernapas di gedung perkantoran di Stasiun Manggarai.",Medis
"Tolong, ada yang pingsan tidak sadarkan diri di gedung perkantoran di Stasiun Manggarai.",Medis
"Saya baru saja melihat tawuran warga di rumah tinggal di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Tolong, ada asap tebal di di Jalan Sudirman, korbannya di dalam gedung perkantoran.",Kebakaran
"Cepat, butuh ambulans! Ada korban kesulitan bernapas dekat Monas.",Medis
Darurat! Api melalap gedung perkantoran di Apartemen Green Pramuka.,Kebakaran
"Tolong, ada korsleting listrik di di Apartemen Green Pramuka, korbannya di dalam warung kelontong.",Kebakaran
"Lapor, ada insiden pencurian dengan kekerasan di Jalan Sudirman.",Kriminal
"Lapor, ada insiden tawuran warga di Mall Grand Indonesia.",Kriminal
"Lapor, ada insiden pencurian dengan kekerasan di Mall Grand Indonesia.",Kriminal
Lapor! Terjadi kebakaran hebat dekat Monas.,Kebakaran
Seseorang butuh pertolongan medis karena kesulitan bernapas di Stasiun Manggarai.,Medis
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
Waspada! Terjadi pencurian dengan kekerasan di Mall Grand Indonesia.,Kriminal
Lapor! Terjadi ledakan tabung gas di Mall Grand Indonesia.,Kebakaran
"Lapor, ada insiden perampokan toko di Apartemen Green Pramuka.",Kriminal
"Tolong, ada asap tebal di di Mall Grand Indonesia, korbannya di dalam rumah tinggal.",Kebakaran
Seseorang butuh pertolongan medis karena pendarahan hebat di Stasiun Manggarai.,Medis
"Tolong, ada ledakan tabung gas di di Jalan Sudirman, korbannya di dalam gedung perkantoran.",Kebakaran
"Tolong, ada korsleting listrik di di Mall Grand Indonesia, korbannya di dalam rumah tinggal.",Kebakaran
Waspada! Terjadi perampokan toko dekat Monas.,Kriminal
"Lapor, ada insiden penjambretan di Mall Grand Indonesia.",Kriminal
Lapor! Terjadi ledakan tabung gas di Apartemen Green Pramuka.,Kebakaran
"Saya baru saja melihat perampokan toko di rumah tinggal di Mall Grand Indonesia, pelakunya kabur.",Kriminal
"Lapor, ada insiden perampokan toko di Mall Grand Indonesia.",Kriminal
Waspada! Terjadi penjambretan di Mall Grand Indonesia.,Kriminal
Seseorang butuh pertolongan medis karena kecelakaan motor di Mall Grand Indonesia.,Medis
"Tolong, ada kebakaran hebat di di Mall Grand Indonesia, korbannya di dalam warung kelontong.",Kebakaran
"Tolong, ada yang serangan jantung di rumah tinggal kawasan SCBD.",Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Mall Grand Indonesia.,Medis
Lapor! Terjadi korsleting listrik kawasan SCBD.,Kebakaran
Darurat! Api melalap mobil sedan silver di Apartemen Green Pramuka.,Kebakaran
Lapor! Terjadi kebakaran hebat kawasan SCBD.,Kebakaran
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Stasiun Manggarai.",Medis
Lapor! Terjadi ledakan tabung gas di Mall Grand Indonesia.,Kebakaran
"Lapor, ada insiden perampokan toko di Jalan Sudirman.",Kriminal
Lapor! Terjadi kebakaran hebat di Mall Grand Indonesia.,Kebakaran
"Lapor, ada insiden tawuran warga kawasan SCBD.",Kriminal
Lapor! Terjadi kebakaran hebat di Apartemen Green Pramuka.,Kebakaran
Darurat! Api melalap rumah tinggal di Jalan Sudirman.,Kebakaran
"Tolong, ada yang kecelakaan motor di gedung perkantoran di Mall Grand Indonesia.",Medis
Lapor! Terjadi ledakan tabung gas kawasan SCBD.,Kebakaran
Seseorang butuh pertolongan medis karena kesulitan bernapas di Jalan Sudirman.,Medis
"Cepat, butuh ambulans! Ada korban serangan jantung di Mall Grand Indonesia.",Medis
Seseorang butuh pertolongan medis karena pingsan tidak sadarkan diri di Apartemen Green Pramuka.,Medis
"Lapor, ada insiden penjambretan di Stasiun Manggarai.",Kriminal
"Tolong, ada yang serangan jantung di rumah tinggal di Stasiun Manggarai.",Medis
Waspada! Terjadi perampokan toko kawasan SCBD.,Kriminal
Seseorang butuh pertolongan medis karena kesulitan bernapas dekat Monas.,Medis
Lapor! Terjadi kebakaran hebat di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung dekat Monas.",Medis
Seseorang butuh pertolongan medis karena serangan jantung di Mall Grand Indonesia.,Medis
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Cepat, butuh ambulans! Ada korban serangan jantung kawasan SCBD.",Medis
